X,Y
0.00929368029739772,-0.00380196012166287
0.00827982426495444,-0.002619128083812
0.00760392024332544,-0.00185873605947972
0.00684352821899286,-0.00126732004055399
0.0063366002027713,-0.000760392024332574
0.00582967218654943,-0.000506928016221716
0.005491720175735,-0.000253464008110858
0.00506928016221701,-8.44880027037193E-05
0.00481581615410615,0
0.00456235214599529,0
0.00430888813788443,0.000168976005407139
0.00422440013518071,8.44880027037193E-05
0.00397093612707001,0.000168976005407139
0.00380196012166272,0.000168976005407439
0.00371747211895915,0.000253464008110858
0.00354849611355186,0.000168976005407139
0.00346400811084829,0.000168976005407139
0.003295032105441,0.000253464008110858
0.003295032105441,0.000253464008110858
0.00312605610003371,0.000253464008110858
0.00304156809733029,0.000337952010814577
0.00304156809733014,0.000337952010814277
0.00287259209192301,0.000337952010814577
0.00287259209192286,0.000422440013517996
0.00278810408921929,0.000337952010814577
0.00422440013518086,0.000760392024332574
0.00557620817843872,0.00109834403514685
0.00523825616762415,0.00126732004055429
0.00506928016221701,0.00143629604596143
0.00481581615410615,0.00152078404866515
0.00456235214599514,0.00160527205136887
0.00439337614058815,0.00168976005407229
0.00422440013518071,0.00177424805677601
0.00397093612707001,0.00185873605947942
0.00388644812436629,0.00177424805677601
0.00371747211895915,0.00185873605947942
0.00354849611355186,0.00185873605947972
0.00422440013518086,0.00228117607299742
0.00447786414329157,0.00245015207840486
0.00422440013518086,0.00245015207840486
0.00405542412977358,0.00228117607299772
0.00388644812436629,0.00228117607299772
0.00371747211895915,0.00211220006759028
0.00363298411625543,0.00194322406218314
0.00346400811084829,0.00194322406218314
0.00337952010814472,0.00185873605947972
0.00388644812436629,0.00202771206488686
0.00380196012166272,0.00202771206488656
0.00371747211895915,0.00185873605947972
0.00363298411625543,0.00168976005407229
0.00354849611355186,0.00168976005407229
0.00346400811084829,0.00168976005407229
0.00337952010814457,0.00152078404866515
0.00380196012166272,0.00177424805677601
0.00371747211895915,0.00168976005407229
0.00363298411625558,0.00160527205136857
0.00354849611355186,0.00168976005407229
0.00346400811084814,0.00160527205136887
0.00346400811084829,0.00160527205136857
0.00363298411625558,0.00177424805677601
0.00370902331868866,0.00177424805677601
0.00358229131463338,0.00177424805677601
0.00351470091247049,0.0017742480567757
0.00342176410949643,0.00177424805677601
0.00337952010814457,0.00177424805677601
0.00358229131463338,0.00194322406218314
0.00348935451165932,0.00185873605947972
0.00338796890841506,0.00185873605947942
0.00330348090571134,0.00177424805677601
0.00321054410273743,0.00177424805677601
0.00339641770868526,0.00185873605947942
0.00329503210544115,0.00177424805677601
