X,Y
0.642215275430889,0.11453531598513
0.64556437985806,0.115130111524164
0.550147854004731,0.0995226427847246
0.47206657654613,0.0875126732004055
0.409974653599189,0.0773960797566745
0.34362678832939,0.0661822687844993
0.288644812436634,0.0562502534640081
0.249602906387293,0.0464425481581615
0.203740002253013,0.0305334009237355
0.160968232510983,0.00968374450827982
0.108549622620255,-0.0109544178776614
0.0784890165596485,-0.0347325109834404
0.0440898952348766,-0.0479297059817506
0.0248870254590515,-0.0433208009462656
0.0156144643460629,-0.0415214599526867
-0.00828391348428523,-0.0416079756674552
-0.0313028050016898,-0.0332296947166836
-0.0376036329841163,-0.0167233862791484
-0.0238910527205137,0.0124834333108032
-0.0238720851639067,0.0373208854342683
-0.0183999662047989,0.061630280500169
-0.00160910217415794,0.0921438830686043
-0.0126143967556607,0.0995708009462656
-0.0231831023994593,0.101047651233525
-0.0247762053621719,0.104708798017348
-0.0379569111186212,0.0994491382223724
-0.0421777627576884,0.0976123690435958
-0.0280801791145657,0.106156359130337
-0.0296650050692802,0.102556606961811
-0.0163677199504337,0.107092767826969
-0.00706518080432578,0.107345386955052
-0.0101753295032105,0.0997059817505914
-0.00662591528669596,0.0938442041230145
0.00447443393038189,0.0881488678607638
-0.0160095133491044,0.0594925650557621
-0.0396764109496451,0.0275856145094063
-0.0464511659344373,0.00668828996282528
-0.0589941703278134,-0.0111630477638842
-0.0639978033119297,-0.0218420074349442
-0.0553276444744846,-0.0220380196012166
-0.0583505125605497,-0.0269075982877098
-0.0589998310239946,-0.0299430550861778
-0.0509802298073674,-0.0278524839472795
-0.058349386053847,-0.0351992508730427
-0.0646138898276445,-0.0425623521459953
-0.065413709586572,-0.0461190435958094
-0.0688869550523826,-0.0496860425819534
-0.0681960121662724,-0.0512864143291653
-0.061506843528219,-0.0496378280950772
-0.0615682663061845,-0.0502636025684353
-0.0586894221020615,-0.0513266306184522
-0.0574493071983778,-0.0534373943899966
-0.0569689084150051,-0.054523656640757
-0.052336093274755,-0.0546939844542075
-0.0430614227779655,-0.0522758251661597
-0.0442184859749915,-0.052505407232173
-0.0386855074912696,-0.0507732060380759
-0.0361777627576884,-0.0490858398107469
