0,0
11.836,2.1109
8.9851,1.6024
8.7315,1.5572
8.4537,1.5077
8.179,1.4586
7.907,1.4101
7.6379,1.3622
7.3718,1.3147
7.1088,1.2678
6.8489,1.2214
6.5923,1.1757
6.3391,1.1305
6.0892,1.086
6.8416,1.277
6.3582,1.1771
6.0975,1.1294
5.8385,1.0819
5.5834,1.0351
5.3323,0.98898
5.0852,0.94362
4.8422,0.89901
4.6034,0.85515
5.3291,1.0188
4.8672,0.92667
4.6204,0.88067
4.3759,0.83503
4.1358,0.79021
3.9003,0.74623
3.6694,0.70308
4.3852,0.8571
3.9364,0.76835
3.699,0.72353
3.4643,0.67915
3.2345,0.63568
3.0094,0.59311
3.6748,0.69742
3.2461,0.62148
3.0166,0.57847
2.7901,0.53607
2.5687,0.4946
3.15,0.51785
2.7465,0.46288
2.5231,0.42285
2.303,0.38361
2.0881,0.34531
2.5923,0.29331
2.2158,0.2604
2.001,0.22522
1.7899,0.19099
2.2168,0.069614
1.8637,0.058431
1.6547,0.028829
1.4496,0.00030606
1.2498,-0.027345
1.6481,-0.17316
1.3159,-0.17041
1.1191,-0.19294
0.92626,-0.21439
1.2952,-0.37807
0.97883,-0.36346
0.78976,-0.37947
0.60471,-0.39441
0.97648,-0.54006
0.66903,-0.5219
0.48779,-0.53189
0.31055,-0.54092
0.725,-0.62628
0.41687,-0.61549
0.24255,-0.62098
0.072104,-0.62571
0.7683,-0.40902
0.40063,-0.46582
0.22705,-0.47361
0.056743,-0.48133
0.52287,-0.46919
0.21078,-0.48043
0.042284,-0.48691
-0.12248,-0.4929
0.27061,-0.52781
-0.017132,-0.52569
-0.17857,-0.52954
-0.33617,-0.53285
0.17449,-0.42228
-0.13286,-0.452
-0.28974,-0.4564
-0.4431,-0.4606
-0.59149,-0.46437
-0.04719,-0.29428
-0.35147,-0.33898
-0.50001,-0.34521
-0.64521,-0.35141
-0.051723,-0.10151
-0.36402,-0.16845
-0.51055,-0.17888
-0.65388,-0.18944
-0.017115,0.13199
-0.33766,0.04246
-0.48337,0.026115
-0.62604,0.0095185
0.048188,0.39431
-0.28065,0.28213
-0.42662,0.25841
-0.56966,0.23436
0.1346,0.67204
-0.20199,0.53804
